tmin,tier,text,tmax
0,transcription,bek':ub (hot),8.170667
2.552902,sounds,b,2.629433
2.552902,words,bek':ub,3.273466
2.629433,sounds,e,2.724500
2.724500,CD/VOT,CD_k':,2.921240
2.724500,sounds,k':,3.046815
2.921240,CD/VOT,VOT_k':,3.046815
3.046815,sounds,u,3.163084
3.163084,sounds,b,3.273466
3.811676,sounds,b,3.883792
3.811676,words,bek':ub,4.509291
3.883792,sounds,e,3.973570
3.973570,CD/VOT,CD_k':,4.152950
3.973570,sounds,k':,4.260563
4.152950,CD/VOT,VOT_k':,4.260563
4.260563,sounds,u,4.382719
4.382719,sounds,b,4.509291
4.964782,sounds,b,5.001576
4.964782,words,bek':ub,5.609413
5.001576,sounds,e,5.092825
5.092825,CD/VOT,CD_k':,5.254131
5.092825,sounds,k':,5.356270
5.254131,CD/VOT,VOT_k':,5.356270
5.356270,sounds,u,5.432802
5.432802,sounds,b,5.609413
6.769724,sounds,b,6.809461
6.769724,words,bek':ub,7.243631
6.809461,sounds,e,6.894823
6.894823,CD/VOT,CD_k':,7.034423
6.894823,sounds,k':,7.102520
7.034423,CD/VOT,VOT_k':,7.102520
7.102520,sounds,u,7.178873
7.178873,sounds,b,7.243631
8.170667,transcription,wuk:udu (fall down),15.770667
10.011253,sounds,w,10.088581
10.011253,words,wuk:udu,10.889182
10.088581,sounds,u,10.186295
10.186295,CD/VOT,CD_k:,10.359819
10.186295,sounds,k:,10.502577
10.359819,CD/VOT,VOT_k:,10.502577
10.502577,sounds,u,10.577169
10.577169,sounds,d,10.708155
10.708155,sounds,u,10.889182
11.407015,sounds,u,11.531743
11.407015,words,uk:udu,12.173431
11.531743,CD/VOT,CD_k:,11.676032
11.531743,sounds,k:,11.817265
11.676032,CD/VOT,VOT_k:,11.817265
11.817265,sounds,u,11.883494
11.883494,sounds,d,12.002707
12.002707,sounds,u,12.173431
12.484846,sounds,u,12.590813
12.484846,words,uk:udu,13.122849
12.590813,CD/VOT,CD_k:,12.727397
12.590813,sounds,k:,12.820408
12.727397,CD/VOT,VOT_k:,12.820408
12.820408,sounds,u,12.891782
12.891782,sounds,d,12.999221
12.999221,sounds,u,13.122849
14.175433,sounds,r,14.178384
14.175433,words,uk:udu,14.749420
14.178384,sounds,u,14.319666
14.319666,CD/VOT,CD_k:,14.472123
14.319666,sounds,k:,14.555808
14.472123,CD/VOT,VOT_k:,14.555808
14.555808,sounds,u,14.614018
14.614018,sounds,d,14.708210
14.708210,sounds,u,14.749420
15.770667,transcription,tʃ'ek'a (foot),23.578667
18.391973,sounds,tʃ',18.503915
18.391973,words,tʃ'ek'a,18.945789
18.503915,sounds,e,18.623221
18.623221,CD/VOT,CD_k',18.717959
18.623221,sounds,k',18.767567
18.717959,CD/VOT,VOT_k',18.767567
18.767567,sounds,a,18.945789
19.598863,sounds,tʃ',19.678401
19.598863,words,tʃ'ek'a,20.080506
19.678401,sounds,e,19.794761
19.794761,CD/VOT,CD_k',19.888240
19.794761,sounds,k',19.962673
19.888240,CD/VOT,VOT_k',19.962673
19.962673,sounds,a,20.080506
20.634322,sounds,tʃ',20.731535
20.634322,words,tʃ'ek'a,21.085607
20.731535,sounds,e,20.820482
20.820482,CD/VOT,CD_k',20.908520
20.820482,sounds,k',20.998705
20.908520,CD/VOT,VOT_k',20.998705
20.998705,sounds,a,21.085607
22.464025,sounds,tʃ',22.508212
22.464025,words,tʃ'ek'a,22.765972
22.508212,sounds,e,22.580385
22.580385,CD/VOT,CD_k',22.655872
22.580385,sounds,k',22.683489
22.655872,CD/VOT,VOT_k',22.683489
22.683489,sounds,a,22.765972
23.578667,transcription,t'uka (goat),31.109333
25.748201,sounds,t',25.846809
25.748201,words,t'uka,26.326603
25.846809,sounds,u,25.933643
25.933643,CD/VOT,CD_k,26.042176
25.933643,sounds,k,26.136746
26.042176,CD/VOT,VOT_k,26.136746
26.136746,sounds,a,26.326603
26.896307,sounds,t',26.975782
26.896307,words,t'uka,27.451161
26.975782,sounds,u,27.053785
27.053785,CD/VOT,CD_k,27.162919
27.053785,sounds,k,27.256450
27.162919,CD/VOT,VOT_k,27.256450
27.256450,sounds,a,27.451161
27.960665,sounds,t',28.031310
27.960665,words,t'uka,28.465480
28.031310,sounds,u,28.134333
28.134333,CD/VOT,CD_k,28.230153
28.134333,sounds,k,28.303173
28.230153,CD/VOT,VOT_k,28.303173
28.303173,sounds,a,28.465480
29.924270,sounds,t',29.955177
29.924270,words,t'uka,30.242170
29.955177,sounds,u,30.018463
30.018463,CD/VOT,CD_k,30.092916
30.018463,sounds,k,30.139682
30.092916,CD/VOT,VOT_k,30.139682
30.139682,sounds,a,30.242170
